Time (s),Latitude,Longitude,Altitude,Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
0.004881024361,62.47200453,6.236030389,20.62523764,64.51878919,0,NaN,0.00009532007104,6.537429973,14.54382896,-1
0.007212996483,62.47200434,6.236028579,14.2636294,58.15718108,NaN,NaN,0.0001020254918,6.499193433,30,-1
0.03880906105,62.47200431,6.236028693,14.2636294,58.15718111,NaN,NaN,0.000172488224,6.499124786,30,-1
3.28450191,62.47200487,6.236029348,27.75409432,71.64764555,0,NaN,0.000307418725,6.478285687,144.4605713,-1
4.284497619,62.47200409,6.23603137,23.84657569,67.74012765,0,NaN,0.0005162880812,6.401674069,72.81085968,-1
5.284485698,62.47200377,6.236035374,23.84657569,67.74012803,0,NaN,0.0009992028938,6.253022462,43.81344223,-1
6.28448236,62.47200302,6.236044629,23.84657569,67.74012889,0,NaN,0.0009992033167,5.894983521,25.97974777,-1
7.385478616,62.47200302,6.236044629,23.84657569,67.74012889,0,NaN,0.002472643056,5.89499484,17.87882805,-1
8.385475516,62.47200073,6.236072869,23.84657569,67.74013154,0,NaN,0.002967666952,4.634639971,14.0361042,-1
9.385518312,62.47199996,6.236082356,23.84657569,67.74013242,0,NaN,0.003348414191,4.125690997,9.41437912,-1
10.38551962,62.47199937,6.236089654,23.84657569,67.74013311,0,NaN,0.003375019934,3.686737056,7.070206165,-1
11.38551629,62.47199924,6.236089229,23.84657569,67.74013322,0,NaN,0.00343288422,3.382723182,5.685567379,-1
12.3855145,62.47199915,6.23609034,23.84657569,67.74013332,0,NaN,0.003436952966,3.318073333,5.033414364,-1
13.3855139,62.47199915,6.236090418,23.84657569,67.74013332,0,NaN,0.00367769756,3.313497517,4.576939583,-1
14.38551295,62.47199769,6.236093882,23.88064955,67.77420854,0,NaN,0.00391369854,3.736126765,4.576829558,-1
15.38551259,62.47199626,6.236097277,23.91405692,67.80761725,0,NaN,0.004371841684,4.066235848,4.615415231,-1
16.38551414,62.47199349,6.236103869,23.97890506,67.87246798,0,NaN,0.004970242589,4.630508138,4.625059071,-1
17.38551009,62.47198883,6.236109711,15.57125243,59.4648196,0,NaN,0.006387130309,5.262082472,28.19284183,-1
18.38551199,62.47198028,6.236130148,16.93801221,60.83158738,0,NaN,0.008661195032,6.154578682,26.47029936,-1
19.38551354,62.47196655,6.236162948,19.13162252,63.02521054,0,NaN,0.01161590798,6.766572833,23.26883522,-1
20.38551128,62.47194872,6.236205566,21.98179941,65.87540411,0,NaN,0.01417555479,6.365129087,17.90168202,-1
21.38551474,62.47193326,6.236242486,24.45088626,68.34450543,0,NaN,0.01522405408,4.66315556,10.6920373,-1
22.38551736,62.47192694,6.236257609,25.4622891,69.35591418,0,NaN,0.01555403302,3.201504362,4.785546951,-1
23.38551772,62.4719258,6.236251675,25.57599204,69.46961799,0,NaN,0.01623774563,2.94298595,3.124624033,-1
24.38551283,62.47193062,6.2362434,24.79533379,68.68895531,0,NaN,0.01710181076,3.998828691,8.923307494,-1
25.38551021,62.47192593,6.236256811,25.51439034,69.4080163,0,NaN,0.01723297207,2.419329421,3.823263304,-1
26.38550675,62.47192548,6.23625917,25.5752689,69.46889531,0,NaN,0.01728302017,2.048848378,3.01097743,-1
27.38550341,62.47192543,6.236260139,25.57598888,69.46961535,0,NaN,0.01732316675,2.000011044,3.000048024,-1
28.38549972,62.4719254,6.236260917,25.57599204,69.46961855,0,NaN,0.01735126716,2.000000401,3.000001706,-1
30.38549352,62.47192563,6.236261129,25.57599204,69.46961835,0,NaN,0.0173522947,2.000000387,3.000001724,-1
31.38548899,62.47192563,6.236261148,25.57599204,69.46961835,0,NaN,0.01735899264,2.000000387,3.000001724,-1
32.38548553,62.47192562,6.236261276,25.57599204,69.46961837,0,NaN,0.01735899284,2.000000388,4.541559732,-1
33.38548291,62.47192562,6.236261276,25.57599204,69.46961837,0,NaN,0.01735899305,2.000028953,4.412207062,-1
34.38547897,62.47192562,6.236261276,25.57599204,69.46961837,0,NaN,0.01753655003,2.000057209,4.367176747,-1
35.38547659,62.471927,6.236263006,27.11044405,71.0040692,0.01869916834,NaN,0.01758233083,2.000000301,5.419464092,-1
36.38547301,62.47192722,6.236262244,27.19405832,71.08768326,0.02113759973,NaN,0.01764992153,2.00002938,5.180307151,-1
37.38546979,62.47192781,6.236262473,27.07308556,70.96670998,0.08403322324,NaN,0.01768997212,2.000000292,4.60622988,-1
38.38546598,62.471928,6.23626314,26.84187053,70.7354948,0.03138783168,NaN,0.01795231907,2.000000276,4.197488027,-1
