Latitude,Longitude,Altitude
08,6.236015,41.50
62.472008,6.236015,41.50
62.472008,6.236015,41.50
62.472008,6.236018,0.00
62.472008,6.236018,41.50
62.472008,6.236020,41.50
62.472008,6.236025,41.50
62.472008,6.236026,41.50
62.472008,6.236032,41.40
62.472012,6.236038,41.30
62.472012,6.236045,41.20
62.472012,6.236055,41.00
62.472019,6.236060,40.80
62.472019,6.236078,40.50
62.472019,6.236088,40.40
62.472027,6.236090,40.40
62.472027,6.236093,40.30
62.472027,6.236102,40.10
62.472027,6.236110,40.00
62.472027,6.236112,39.80
62.472027,6.236115,39.60
62.472027,6.236116,39.70
62.472019,6.236115,39.50
62.472019,6.236112,39.50
62.472019,6.236110,39.50
62.472019,6.236108,39.40
62.472012,6.236105,39.30
62.472012,6.236108,39.30
62.472012,6.236110,39.30
62.472019,6.236115,39.20
62.472019,6.236115,39.20
62.472019,6.236113,39.20
62.472019,6.236118,39.10
62.472012,6.236118,39.10
62.472019,6.236122,39.10
62.472019,6.236122,39.10
62.472019,6.236123,39.10
62.472012,6.236122,39.10
62.472012,6.236120,39.20
62.472012,6.236116,39.20
62.472012,6.236113,39.30
62.472012,6.236115,39.30
62.472008,6.236115,39.30
62.472008,6.236113,39.40
62.472008,6.236112,39.40
62.472008,6.236112,39.40
62.472008,6.236112,39.40
62.472008,6.236112,39.40
62.472008,6.236113,39.50
62.472008,6.236113,39.50
62.472000,6.236110,39.50
62.472000,6.236106,39.50
62.472000,6.236105,39.60
62.471992,6.236105,39.60
62.471992,6.236105,39.60
62.471992,6.236105,39.60
62.471992,6.236105,39.60
62.471989,6.236103,39.70
62.471989,6.236102,39.70
62.471989,6.236102,39.70
62.471981,6.236100,39.70
62.471981,6.236102,39.70
62.471981,6.236103,39.80
62.471981,6.236103,39.80
62.471981,6.236103,39.80
62.471973,6.236105,39.80
62.471973,6.236105,39.90
62.471973,6.236105,39.90
62.471973,6.236103,39.90
62.471970,6.236102,39.90
62.471970,6.236098,40.00
62.471970,6.236098,40.00
62.471962,6.236100,40.00
62.471962,6.236095,40.10
62.471962,6.236096,40.00
62.471962,6.236103,39.90
62.471962,6.236110,39.80
62.471954,6.236112,39.80
62.471954,6.236113,39.90
62.471954,6.236115,39.90
62.471954,6.236116,39.90
62.471954,6.236120,39.90
62.471951,6.236120,40.00
62.471951,6.236118,40.00
62.471951,6.236116,40.00
