Latitude,Longitude,Altitude
62.472095,6.236271,38.40
62.472095,6.236271,38.40
62.472088,6.236273,38.40
62.472088,6.236275,38.40
62.472084,6.236277,38.40
62.472084,6.236277,38.40
62.472076,6.236279,38.40
62.472076,6.236280,38.40
62.472069,6.236280,38.40
62.472069,6.236281,38.40
62.472065,6.236283,38.40
62.472057,6.236285,38.40
62.472050,6.236288,38.30
62.472046,6.236288,38.30
62.472038,6.236286,38.20
62.472031,6.236286,38.20
62.472027,6.236285,38.30
62.472019,6.236281,38.30
62.472019,6.236279,38.30
62.472012,6.236275,38.30
62.472000,6.236277,38.30
62.471992,6.236279,38.20
62.471989,6.236279,38.20
62.471989,6.236271,38.20
62.471989,6.236265,38.20
62.471981,6.236255,38.10
62.471981,6.236248,38.10
62.471989,6.236245,38.10
62.471992,6.236237,38.10
62.471992,6.236232,38.00
62.472000,6.236225,38.00
62.471992,6.236225,38.00
62.471992,6.236225,38.00
62.471992,6.236225,38.00
62.471992,6.236225,38.00
62.471992,6.236225,38.00
62.471992,6.236223,38.00
62.471992,6.236223,38.00
62.471992,6.236225,38.00
62.471992,6.236225,38.00
62.471992,6.236223,38.00
62.471992,6.236223,38.00
62.471992,6.236223,38.00
62.472000,6.236225,38.00
62.472000,6.236227,38.00
62.472000,6.236227,38.00
62.472008,6.236228,38.00
62.472008,6.236230,38.00
62.472012,6.236232,38.00
62.472012,6.236235,37.90
62.472019,6.236240,37.90
62.472027,6.236243,37.90
62.472027,6.236248,37.90
62.472031,6.236253,37.80
62.472038,6.236252,37.80
62.472038,6.236252,37.80
62.472038,6.236247,37.70
62.472046,6.236247,37.70
62.472046,6.236245,37.70
62.472046,6.236245,37.70
62.472046,6.236243,37.70
62.472046,6.236242,37.70
62.472050,6.236242,37.70
62.472050,6.236240,37.70
62.472050,6.236240,37.70
62.472057,6.236238,37.70
62.472057,6.236238,37.70
62.472057,6.236238,37.70
62.472057,6.236238,37.70
62.472057,6.236238,37.70
62.472057,6.236238,37.70
62.472065,6.236240,37.70
62.472065,6.236240,37.70
62.472065,6.236240,37.70
62.472065,6.236238,37.70
62.472065,6.236238,37.70
62.472065,6.236237,37.70
62.472057,6.236235,37.70
62.472057,6.236233,37.70
62.472057,6.236233,37.70
62.472057,6.236232,37.70
62.472057,6.236227,37.70
62.472057,6.236225,37.70
62.472057,6.236223,37.70
62.472057,6.236220,37.70
62.472057,6.236218,37.70
62.472050,6.236218,37.70
62.472050,6.236217,37.70
62.472050,6.236215,37.70
62.472050,6.236215,37.70
62.472050,6.236213,37.70
62.472046,6.236212,37.70
62.472046,6.236210,37.70
62.472046,6.236207,37.70
62.472046,6.236205,37.70
62.472046,6.236202,37.70
62.472046,6.236202,37.70
62.472038,6.236202,37.70
62.472038,6.236203,37.70
62.472046,6.236203,37.70
62.472046,6.236205,37.70
